Episode,Pieces,WallHits,Reward,FixedUpdateCount
1,0,3,-0.6,1000
2,0,1,-0.2,2000
3,0,0,0,3000
4,0,4,-0.8,4000
5,0,3,-0.6,5000
6,0,0,0,6000
7,0,10,-2,7000
8,0,0,0,8000
9,0,6,-1.2,9000
10,0,0,0,10000
11,0,0,0,11000
12,-1,3,-1.6,12000
13,0,0,0,13000
14,0,0,0,14000
15,0,0,0,15000
16,0,0,0,16000
17,0,6,-1.2,17000
18,0,0,0,18000
19,0,1,-0.2,19000
20,0,2,-0.4,20000
21,0,2,-0.4,21000
22,0,0,0,22000
23,0,0,0,23000
24,0,0,0,24000
25,-1,8,-2.6,25000
26,0,2,-0.4,26000
27,0,1,-0.2,27000
28,0,4,-0.8,28000
29,0,4,-0.8,29000
30,0,3,-0.6,30000
31,0,4,-0.8,31000
32,0,3,-0.6,32000
33,0,0,0,33000
34,0,0,0,34000
35,0,0,0,35000
36,0,2,-0.4,36000
37,0,0,0,37000
38,0,6,-1.2,38000
39,0,0,0,39000
40,0,0,0,40000
41,0,3,-0.6,41000
42,0,0,0,42000
43,0,0,0,43000
44,0,1,-0.2,44000
45,0,0,0,45000
46,0,1,-0.2,46000
47,0,2,-0.4,47000
48,0,1,-0.2,48000
49,0,0,0,49000
50,0,3,-0.6,50000
51,0,9,-1.8,51000
52,-1,3,-1.6,52000
53,0,1,-0.2,53000
54,0,0,0,54000
55,0,0,0,55000
56,0,15,-3,56000
57,0,6,-1.2,57000
58,0,1,-0.2,58000
59,0,7,-1.4,59000
60,0,1,-0.2,60000
61,0,18,-3.6,61000
62,-1,9,-2.8,62000
63,0,3,-0.6,63000
64,0,3,-0.6,64000
65,0,0,0,65000
66,0,4,-0.8,66000
67,0,0,0,67000
68,0,3,-0.6,68000
69,0,0,0,69000
70,0,0,0,70000
71,0,5,-1,71000
72,0,5,-1,72000
73,0,7,-1.4,73000
74,0,0,0,74000
75,0,1,-0.2,75000
76,0,0,0,76000
77,0,0,0,77000
78,0,5,-1,78000
79,0,1,-0.2,79000
80,0,1,-0.2,80000
81,0,4,-0.8,81000
82,0,2,-0.4,82000
83,0,0,0,83000
84,-1,2,-1.4,84000
85,0,0,0,85000
86,0,0,0,86000
87,-1,6,-2.2,87000
88,0,0,0,88000
89,-1,11,-3.2,89000
90,0,12,-2.4,90000
91,0,1,-0.2,91000
92,0,0,0,92000
93,0,0,0,93000
94,0,0,0,94000
95,0,0,0,95000
96,0,0,0,96000
97,0,3,-0.6,97000
98,0,0,0,98000
99,0,5,-1,99000
100,0,1,-0.2,100000
101,0,7,-1.4,101000
102,0,0,0,102000
103,0,6,-1.2,103000
104,0,7,-1.4,104000
105,0,0,0,105000
106,0,0,0,106000
107,0,8,-1.6,107000
108,0,8,-1.6,108000
109,0,1,-0.2,109000
110,0,4,-0.8,110000
111,0,2,-0.4,111000
112,0,5,-1,112000
113,0,0,0,113000
114,0,8,-1.6,114000
115,0,10,-2,115000
116,0,0,0,116000
117,0,7,-1.4,117000
118,0,3,-0.6,118000
119,0,5,-1,119000
120,0,4,-0.8,120000
121,0,2,-0.4,121000
122,0,10,-2,122000
123,0,0,0,123000
124,0,0,0,124000
125,0,1,-0.2,125000
126,0,13,-2.6,126000
127,0,3,-0.6,127000
128,0,1,-0.2,128000
129,0,0,0,129000
130,0,0,0,130000
131,0,3,-0.6,131000
132,0,4,-0.8,132000
133,0,9,-1.8,133000
134,0,7,-1.4,134000
135,0,3,-0.6,135000
136,0,0,0,136000
137,-1,9,-2.8,137000
138,0,7,-1.4,138000
139,0,6,-1.2,139000
140,0,7,-1.4,140000
141,0,11,-2.2,141000
142,0,0,0,142000
143,0,0,0,143000
144,0,7,-1.4,144000
145,0,2,-0.4,145000
146,0,6,-1.2,146000
147,0,0,0,147000
148,0,13,-2.6,148000
149,0,6,-1.2,149000
150,0,5,-1,150000
151,0,3,-0.6,151000
152,0,0,0,152000
153,0,2,-0.4,153000
154,0,0,0,154000
155,0,3,-0.6,155000
156,0,4,-0.8,156000
157,0,0,0,157000
158,0,10,-2,158000
159,0,1,-0.2,159000
160,0,2,-0.4,160000
161,0,0,0,161000
162,0,1,-0.2,162000
163,0,0,0,163000
164,0,6,-1.2,164000
165,0,2,-0.4,165000
166,0,0,0,166000
167,0,24,-4.8,167000
168,0,0,0,168000
169,0,0,0,169000
170,0,0,0,170000
171,0,0,0,171000
172,0,0,0,172000
173,0,6,-1.2,173000
174,0,0,0,174000
175,0,0,0,175000
176,0,3,-0.6,176000
177,0,11,-2.2,177000
178,0,12,-2.4,178000
179,0,3,-0.6,179000
180,0,3,-0.6,180000
181,0,0,0,181000
182,0,6,-1.2,182000
183,0,4,-0.8,183000
184,-1,6,-2.2,184000
185,0,1,-0.2,185000
186,0,0,0,186000
187,0,7,-1.4,187000
188,0,0,0,188000
189,0,16,-3.2,189000
190,0,5,-1,190000
191,0,1,-0.2,191000
192,0,0,0,192000
193,0,0,0,193000
194,-1,4,-1.8,194000
195,0,0,0,195000
196,0,0,0,196000
197,0,0,0,197000
198,0,0,0,198000
199,0,5,-1,199000
200,0,0,0,200000
201,0,7,-1.4,201000
202,0,0,0,202000
203,0,0,0,203000
204,0,1,-0.2,204000
205,0,0,0,205000
206,0,3,-0.6,206000
207,-1,6,-2.2,207000
208,-1,10,-3,208000
209,-1,1,-1.2,209000
210,0,0,0,210000
211,0,7,-1.4,211000
212,0,0,0,212000
213,0,4,-0.8,213000
214,0,1,-0.2,214000
215,0,9,-1.8,215000
216,0,0,0,216000
217,0,0,0,217000
218,0,0,0,218000
219,0,5,-1,219000
220,0,10,-2,220000
221,0,1,-0.2,221000
222,0,3,-0.6,222000
223,0,0,0,223000
224,0,0,0,224000
225,0,11,-2.2,225000
226,0,8,-1.6,226000
227,-1,5,-2,227000
228,-1,18,-4.6,228000
229,0,0,0,229000
230,0,8,-1.6,230000
231,0,4,-0.8,231000
232,0,3,-0.6,232000
233,0,0,0,233000
234,0,2,-0.4,234000
235,0,0,0,235000
236,0,3,-0.6,236000
237,0,0,0,237000
238,0,0,0,238000
239,0,6,-1.2,239000
240,0,9,-1.8,240000
241,0,0,0,241000
242,0,0,0,242000
243,0,10,-2,243000
244,0,0,0,244000
245,0,0,0,245000
246,0,0,0,246000
247,0,0,0,247000
248,0,0,0,248000
249,0,0,0,249000
250,0,1,-0.2,250000
251,0,0,0,251000
252,0,7,-1.4,252000
253,0,0,0,253000
254,0,17,-3.4,254000
255,0,0,0,255000
256,0,2,-0.4,256000
257,0,7,-1.4,257000
258,0,16,-3.2,258000
259,0,0,0,259000
260,0,0,0,260000
261,0,5,-1,261000
262,-1,12,-3.4,262000
263,0,5,-1,263000
264,0,0,0,264000
265,0,0,0,265000
266,0,2,-0.4,266000
267,0,5,-1,267000
268,0,20,-4,268000
269,0,0,0,269000
270,0,0,0,270000
271,0,0,0,271000
272,0,4,-0.8,272000
273,0,0,0,273000
274,0,3,-0.6,274000
275,0,0,0,275000
276,0,0,0,276000
277,0,0,0,277000
278,0,2,-0.4,278000
279,0,0,0,279000
280,0,0,0,280000
281,0,2,-0.4,281000
282,0,0,0,282000
283,0,5,-1,283000
284,0,2,-0.4,284000
285,0,0,0,285000
286,0,0,0,286000
287,0,7,-1.4,287000
288,0,1,-0.2,288000
289,0,3,-0.6,289000
290,0,8,-1.6,290000
291,0,0,0,291000
292,0,0,0,292000
293,0,0,0,293000
294,0,1,-0.2,294000
295,0,17,-3.4,295000
296,0,1,-0.2,296000
297,0,0,0,297000
298,-1,8,-2.6,298000
299,0,0,0,299000
300,0,0,0,300000
301,0,5,-1,301000
302,0,2,-0.4,302000
303,0,7,-1.4,303000
304,0,7,-1.4,304000
305,-1,5,-2,305000
306,0,0,0,306000
307,0,0,0,307000
308,0,4,-0.8,308000
309,0,0,0,309000
310,0,0,0,310000
311,0,0,0,311000
312,0,6,-1.2,312000
313,-1,3,-1.6,313000
314,0,5,-1,314000
315,0,2,-0.4,315000
316,0,1,-0.2,316000
317,0,6,-1.2,317000
318,0,1,-0.2,318000
319,0,0,0,319000
320,0,2,-0.4,320000
321,0,2,-0.4,321000
322,0,0,0,322000
323,0,0,0,323000
324,0,2,-0.4,324000
325,0,0,0,325000
326,0,0,0,326000
327,0,0,0,327000
328,0,0,0,328000
329,0,0,0,329000
330,0,0,0,330000
331,0,11,-2.2,331000
332,0,0,0,332000
333,0,14,-2.8,333000
334,0,11,-2.2,334000
335,0,0,0,335000
336,-1,10,-3,336000
337,0,1,-0.2,337000
338,0,0,0,338000
339,0,0,0,339000
340,0,0,0,340000
341,0,1,-0.2,341000
342,0,0,0,342000
343,0,0,0,343000
344,0,0,0,344000
345,0,1,-0.2,345000
346,0,2,-0.4,346000
347,0,2,-0.4,347000
348,0,0,0,348000
349,0,0,0,349000
350,0,3,-0.6,350000
351,0,0,0,351000
352,-1,5,-2,352000
353,0,1,-0.2,353000
354,0,3,-0.6,354000
355,-1,14,-3.8,355000
356,0,0,0,356000
357,0,0,0,357000
358,0,1,-0.2,358000
359,-1,6,-2.2,359000
360,0,4,-0.8,360000
361,0,3,-0.6,361000
362,0,0,0,362000
363,0,0,0,363000
364,0,3,-0.6,364000
365,0,2,-0.4,365000
366,0,0,0,366000
367,0,6,-1.2,367000
368,0,0,0,368000
369,0,0,0,369000
370,0,0,0,370000
371,0,5,-1,371000
372,-1,1,-1.2,372000
373,0,0,0,373000
374,0,7,-1.4,374000
375,0,0,0,375000
376,0,0,0,376000
377,0,4,-0.8,377000
378,0,2,-0.4,378000
379,0,10,-2,379000
380,0,0,0,380000
381,0,2,-0.4,381000
382,0,7,-1.4,382000
383,0,0,0,383000
384,0,0,0,384000
385,0,0,0,385000
386,0,4,-0.8,386000
387,0,2,-0.4,387000
388,0,0,0,388000
389,-1,2,-1.4,389000
390,0,0,0,390000
391,0,5,-1,391000
392,0,0,0,392000
393,0,4,-0.8,393000
394,0,10,-2,394000
395,0,0,0,395000
396,0,0,0,396000
397,0,0,0,397000
398,0,1,-0.2,398000
399,-1,17,-4.4,399000
400,0,1,-0.2,400000
401,0,0,0,401000
402,0,3,-0.6,402000
403,0,1,-0.2,403000
404,0,0,0,404000
405,0,2,-0.4,405000
406,0,2,-0.4,406000
407,-1,3,-1.6,407000
408,0,20,-4,408000
409,0,0,0,409000
410,0,4,-0.8,410000
411,0,0,0,411000
412,0,1,-0.2,412000
413,0,3,-0.6,413000
414,0,2,-0.4,414000
415,0,1,-0.2,415000
416,0,1,-0.2,416000
417,0,1,-0.2,417000
418,0,0,0,418000
419,0,3,-0.6,419000
420,0,4,-0.8,420000
421,0,3,-0.6,421000
422,0,0,0,422000
423,0,3,-0.6,423000
424,0,4,-0.8,424000
425,-1,11,-3.2,425000
426,-1,4,-1.8,426000
427,0,5,-1,427000
428,0,0,0,428000
429,0,1,-0.2,429000
430,0,0,0,430000
431,0,0,0,431000
432,0,1,-0.2,432000
433,0,0,0,433000
434,0,0,0,434000
435,0,0,0,435000
436,0,1,-0.2,436000
437,-1,7,-2.4,437000
438,0,1,-0.2,438000
439,0,2,-0.4,439000
440,0,0,0,440000
441,0,2,-0.4,441000
442,0,0,0,442000
443,0,8,-1.6,443000
444,0,13,-2.6,444000
445,0,6,-1.2,445000
446,0,0,0,446000
447,0,0,0,447000
448,0,0,0,448000
449,0,4,-0.8,449000
450,0,0,0,450000
451,-1,3,-1.6,451000
452,0,0,0,452000
453,0,0,0,453000
454,0,0,0,454000
455,0,1,-0.2,455000
456,0,2,-0.4,456000
457,0,0,0,457000
458,0,0,0,458000
459,0,0,0,459000
460,0,1,-0.2,460000
461,-1,6,-2.2,461000
462,0,5,-1,462000
463,0,0,0,463000
464,0,0,0,464000
465,0,0,0,465000
466,0,0,0,466000
467,-1,6,-2.2,467000
468,0,1,-0.2,468000
469,0,8,-1.6,469000
470,0,2,-0.4,470000
471,0,0,0,471000
472,0,0,0,472000
473,-1,17,-4.4,473000
474,1,0,1,474000
475,0,0,0,475000
476,0,6,-1.2,476000
477,0,0,0,477000
478,0,0,0,478000
479,0,1,-0.2,479000
480,0,0,0,480000
481,0,0,0,481000
482,0,0,0,482000
483,0,2,-0.4,483000
484,-1,9,-2.8,484000
485,0,0,0,485000
486,0,0,0,486000
487,0,0,0,487000
488,0,8,-1.6,488000
489,0,0,0,489000
490,0,0,0,490000
491,-1,6,-2.2,491000
492,-1,3,-1.6,492000
493,0,0,0,493000
494,-1,6,-2.2,494000
495,0,5,-1,495000
496,0,0,0,496000
497,0,0,0,497000
498,0,0,0,498000
499,0,0,0,499000
500,0,6,-1.2,500000
501,0,9,-1.8,501000
502,0,0,0,502000
503,0,0,0,503000
504,0,3,-0.6,504000
505,0,1,-0.2,505000
506,0,0,0,506000
507,0,9,-1.8,507000
508,0,7,-1.4,508000
509,0,0,0,509000
510,0,9,-1.8,510000
511,0,0,0,511000
512,0,8,-1.6,512000
513,0,0,0,513000
514,0,5,-1,514000
515,0,3,-0.6,515000
516,0,0,0,516000
517,0,4,-0.8,517000
518,0,0,0,518000
519,0,0,0,519000
520,0,0,0,520000
521,0,1,-0.2,521000
522,0,0,0,522000
523,0,0,0,523000
524,0,0,0,524000
525,0,0,0,525000
526,0,2,-0.4,526000
527,0,0,0,527000
528,0,2,-0.4,528000
529,0,0,0,529000
530,0,0,0,530000
531,0,0,0,531000
532,0,0,0,532000
533,0,3,-0.6,533000
534,-1,3,-1.6,534000
535,0,0,0,535000
536,0,4,-0.8,536000
537,0,0,0,537000
538,0,0,0,538000
539,0,5,-1,539000
540,0,0,0,540000
541,0,1,-0.2,541000
542,-1,9,-2.8,542000
543,0,5,-1,543000
544,0,0,0,544000
545,0,0,0,545000
546,0,0,0,546000
547,0,6,-1.2,547000
548,0,3,-0.6,548000
549,-1,6,-2.2,549000
550,0,4,-0.8,550000
551,0,0,0,551000
552,0,2,-0.4,552000
553,0,0,0,553000
554,0,0,0,554000
555,0,0,0,555000
556,0,1,-0.2,556000
557,0,0,0,557000
558,0,0,0,558000
559,0,0,0,559000
560,0,4,-0.8,560000
561,0,0,0,561000
562,0,6,-1.2,562000
563,0,0,0,563000
564,0,7,-1.4,564000
565,0,4,-0.8,565000
566,0,8,-1.6,566000
567,0,2,-0.4,567000
568,0,8,-1.6,568000
569,0,0,0,569000
570,0,3,-0.6,570000
571,0,0,0,571000
572,0,3,-0.6,572000
573,0,0,0,573000
574,0,0,0,574000
575,0,0,0,575000
576,0,1,-0.2,576000
577,0,0,0,577000
578,-1,5,-2,578000
579,0,1,-0.2,579000
580,0,3,-0.6,580000
581,-1,5,-2,581000
582,0,0,0,582000
583,0,0,0,583000
584,0,6,-1.2,584000
585,0,4,-0.8,585000
586,0,4,-0.8,586000
587,0,0,0,587000
588,0,0,0,588000
589,0,5,-1,589000
590,0,0,0,590000
591,0,0,0,591000
592,0,0,0,592000
593,0,3,-0.6,593000
594,0,0,0,594000
595,0,6,-1.2,595000
596,0,0,0,596000
597,0,4,-0.8,597000
598,0,8,-1.6,598000
599,0,0,0,599000
600,-1,6,-2.2,600000
601,0,6,-1.2,601000
602,0,0,0,602000
603,0,0,0,603000
604,-1,7,-2.4,604000
605,0,0,0,605000
606,0,0,0,606000
607,0,0,0,607000
608,-1,7,-2.4,608000
609,0,0,0,609000
610,0,0,0,610000
611,0,1,-0.2,611000
612,-1,14,-3.8,612000
613,0,1,-0.2,613000
614,0,0,0,614000
615,0,0,0,615000
616,0,0,0,616000
617,-1,4,-1.8,617000
618,0,5,-1,618000
619,0,4,-0.8,619000
620,0,0,0,620000
621,0,11,-2.2,621000
622,-1,1,-1.2,622000
623,0,0,0,623000
624,-1,4,-1.8,624000
625,0,0,0,625000
626,0,0,0,626000
627,0,7,-1.4,627000
628,0,0,0,628000
629,0,6,-1.2,629000
630,0,0,0,630000
631,0,0,0,631000
632,0,0,0,632000
633,0,0,0,633000
634,0,0,0,634000
635,0,4,-0.8,635000
636,0,10,-2,636000
637,0,4,-0.8,637000
638,0,0,0,638000
639,0,6,-1.2,639000
640,0,4,-0.8,640000
641,0,4,-0.8,641000
642,0,0,0,642000
643,0,0,0,643000
644,0,1,-0.2,644000
645,0,0,0,645000
646,-1,11,-3.2,646000
647,0,6,-1.2,647000
648,0,0,0,648000
649,0,0,0,649000
650,0,3,-0.6,650000
651,0,0,0,651000
652,0,0,0,652000
653,0,7,-1.4,653000
654,0,3,-0.6,654000
655,0,0,0,655000
656,0,0,0,656000
657,0,0,0,657000
658,0,0,0,658000
659,0,0,0,659000
660,0,0,0,660000
661,0,0,0,661000
662,0,0,0,662000
663,0,0,0,663000
664,0,3,-0.6,664000
665,0,0,0,665000
666,0,0,0,666000
667,-1,5,-2,667000
668,0,7,-1.4,668000
669,0,0,0,669000
670,0,0,0,670000
671,0,0,0,671000
672,0,0,0,672000
673,0,4,-0.8,673000
674,0,6,-1.2,674000
675,0,1,-0.2,675000
676,0,0,0,676000
677,0,0,0,677000
678,0,0,0,678000
679,0,0,0,679000
680,0,0,0,680000
681,0,0,0,681000
682,0,3,-0.6,682000
683,0,0,0,683000
684,0,1,-0.2,684000
685,0,0,0,685000
686,0,5,-1,686000
687,0,0,0,687000
688,0,0,0,688000
689,-1,6,-2.2,689000
690,0,0,0,690000
691,0,0,0,691000
692,0,0,0,692000
693,0,0,0,693000
694,-1,9,-2.8,694000
695,0,0,0,695000
696,1,0,1,696000
697,0,0,0,697000
698,0,5,-1,698000
699,0,2,-0.4,699000
700,0,3,-0.6,700000
701,0,0,0,701000
702,0,0,0,702000
703,0,6,-1.2,703000
704,0,2,-0.4,704000
705,0,3,-0.6,705000
706,0,0,0,706000
707,0,0,0,707000
708,0,0,0,708000
709,0,0,0,709000
710,0,0,0,710000
711,0,0,0,711000
712,0,5,-1,712000
713,0,9,-1.8,713000
714,0,0,0,714000
715,0,0,0,715000
716,0,2,-0.4,716000
717,0,0,0,717000
718,0,0,0,718000
719,0,0,0,719000
720,0,0,0,720000
721,0,0,0,721000
722,0,0,0,722000
723,0,0,0,723000
724,0,0,0,724000
725,0,0,0,725000
726,0,0,0,726000
727,0,0,0,727000
728,0,0,0,728000
729,0,0,0,729000
730,0,0,0,730000
731,0,1,-0.2,731000
732,0,0,0,732000
733,0,0,0,733000
734,0,0,0,734000
735,0,9,-1.8,735000
736,0,1,-0.2,736000
737,0,3,-0.6,737000
738,0,0,0,738000
739,0,5,-1,739000
740,0,2,-0.4,740000
741,0,0,0,741000
742,0,0,0,742000
743,0,0,0,743000
744,0,0,0,744000
745,0,0,0,745000
746,0,3,-0.6,746000
747,0,2,-0.4,747000
748,0,4,-0.8,748000
749,0,0,0,749000
750,0,0,0,750000
751,0,0,0,751000
752,0,2,-0.4,752000
753,0,0,0,753000
754,-1,12,-3.4,754000
755,0,0,0,755000
756,0,0,0,756000
757,0,8,-1.6,757000
758,0,0,0,758000
759,0,3,-0.6,759000
760,0,7,-1.4,760000
761,0,0,0,761000
762,0,0,0,762000
763,0,0,0,763000
764,0,0,0,764000
765,0,0,0,765000
766,0,0,0,766000
767,0,0,0,767000
768,0,0,0,768000
769,0,0,0,769000
770,0,0,0,770000
771,1,0,1,771000
772,0,0,0,772000
773,0,0,0,773000
774,0,0,0,774000
775,-1,7,-2.4,775000
776,0,4,-0.8,776000
777,0,0,0,777000
778,0,0,0,778000
779,0,2,-0.4,779000
780,0,0,0,780000
781,0,1,-0.2,781000
782,0,0,0,782000
783,0,0,0,783000
784,0,0,0,784000
785,0,0,0,785000
786,0,4,-0.8,786000
787,-1,5,-2,787000
788,0,0,0,788000
789,0,0,0,789000
790,0,0,0,790000
791,0,0,0,791000
792,0,2,-0.4,792000
793,0,0,0,793000
794,0,11,-2.2,794000
795,0,1,-0.2,795000
796,0,7,-1.4,796000
797,0,0,0,797000
798,0,1,-0.2,798000
799,0,1,-0.2,799000
800,0,0,0,800000
801,0,0,0,801000
802,0,0,0,802000
803,0,0,0,803000
804,0,1,-0.2,804000
805,0,0,0,805000
806,0,0,0,806000
807,0,0,0,807000
808,0,0,0,808000
809,0,2,-0.4,809000
810,0,0,0,810000
811,0,0,0,811000
812,0,0,0,812000
813,0,0,0,813000
